 Year Mo Globe  Land Ocean   NH   Land Ocean   SH   Land Ocean Trpcs  Land Ocean NoExt  Land Ocean SoExt  Land Ocean NoPol  Land Ocean SoPol  Land Ocean USA48 USA49  AUST
 1982  2  0.66  1.04  0.52  0.99  1.39  0.72  0.34  0.24  0.36  0.10  0.10  0.10  1.42  1.70  1.16  0.50  0.45  0.51  0.22  0.16  0.28  0.54  0.43  0.58  0.51  0.03  0.18
 1982  3  0.74  0.94  0.66  0.85  1.08  0.70  0.63  0.60  0.63  0.45  0.48  0.44  1.04  1.21  0.89  0.74  0.81  0.72 -1.24 -0.56 -2.01  0.91  1.06  0.84  1.32  1.26  0.24
 1982  4  0.70  0.71  0.70  0.94  0.77  1.06  0.46  0.57  0.44  0.15  0.23  0.13  1.35  0.91  1.75  0.64  0.85  0.61  3.26  2.21  4.46  0.67  0.50  0.75  1.56  2.08  1.23
 1982  5  0.83  1.11  0.73  1.15  1.34  1.03  0.52  0.59  0.50  0.52  0.66  0.48  1.50  1.52  1.47  0.50  0.53  0.50  3.18  2.90  3.50 -0.23 -0.37 -0.16  0.90  1.22  1.20
 1982  6  1.01  1.49  0.82  1.45  1.59  1.36  0.56  1.27  0.41  1.22  1.44  1.16  1.60  1.65  1.55  0.18  1.06  0.02  1.74  1.68  1.80 -0.95 -0.00 -1.41  2.14  2.03  1.23
 1982  7  1.07  1.33  0.96  1.41  1.35  1.45  0.72  1.29  0.60  1.56  1.57  1.56  1.36  1.31  1.40  0.25  1.00  0.11  1.22  1.14  1.32 -0.22  0.25 -0.44  1.19  1.16  1.60
 1982  8  1.10  1.22  1.06  1.46  1.27  1.59  0.75  1.10  0.67  1.84  1.86  1.83  1.30  1.14  1.44  0.14  0.43  0.09  1.23  1.19  1.28 -0.50 -0.30 -0.59  0.85  0.83  0.63
 1982  9  1.26  1.40  1.21  1.63  1.43  1.76  0.90  1.33  0.81  2.14  2.11  2.15  1.40  1.27  1.52  0.21  0.66  0.12  1.64  1.39  1.92 -0.46 -0.16 -0.60  1.35  1.22  1.98
 1982 10  1.32  1.27  1.33  1.06  0.99  1.10  1.58  1.91  1.51  1.46  1.47  1.46  0.84  0.87  0.81  1.64  2.23  1.54  0.51  0.53  0.49  4.26  4.02  4.37  0.74  0.60  1.62
 1982 11  1.43  1.27  1.50  1.15  0.90  1.32  1.71  2.12  1.63  1.88  1.97  1.86  0.73  0.61  0.83  1.67  2.26  1.56 -1.31 -1.02 -1.63  2.66  3.57  2.23  1.57  1.13  1.23
 1982 12  1.40  1.15  1.49  1.03  0.80  1.17  1.76  1.95  1.72  1.82  1.89  1.80  0.62  0.55  0.69  1.72  1.86  1.69 -1.46 -1.13 -1.83  1.34  1.79  1.13  2.65  2.86  2.53
 1983  1  1.41  1.28  1.46  1.05  1.10  1.01  1.76  1.68  1.78  1.69  1.89  1.63  0.72  0.86  0.59  1.79  1.62  1.82 -2.38 -1.81 -3.05  0.66  0.83  0.58  2.40  2.29  2.60
 1983  2  1.32  1.63  1.20  1.28  1.74  0.99  1.36  1.41  1.35  1.35  1.57  1.28  1.27  1.76  0.83  1.34  1.33  1.34 -0.01  1.26 -1.46  0.64  0.83  0.55  1.76  1.97  2.07
 1983  3  1.17  1.43  1.06  1.29  1.62  1.08  1.04  1.00  1.05  1.05  1.25  0.99  1.45  1.71  1.22  1.01  0.84  1.04  3.04  3.02  3.06  0.68  0.35  0.83  2.56  2.51  1.00
 1983  4  0.98  1.11  0.92  0.98  1.20  0.84  0.98  0.93  0.99  0.93  1.10  0.88  1.01  1.23  0.81  0.99  0.77  1.03  2.02  1.80  2.27  0.76  0.24  1.00  2.27  2.06  1.34
 1983  5  0.84  0.78  0.86  0.92  0.94  0.90  0.76  0.41  0.83  1.01  0.95  1.03  0.86  0.94  0.79  0.63 -0.01  0.74  0.46  0.50  0.41 -0.18 -1.34  0.36  1.75  1.48  0.39
 1983  6  0.75  0.78  0.73  0.84  0.85  0.84  0.65  0.61  0.66  0.84  0.82  0.85  0.84  0.85  0.83  0.55  0.50  0.56  0.29  0.13  0.48 -0.78 -0.87 -0.74  1.31  1.15  1.19
 1983  7  0.67  0.61  0.69  0.65  0.58  0.70  0.68  0.69  0.68  0.65  0.62  0.66  0.66  0.56  0.75  0.69  0.77  0.67  0.40  0.49  0.30  0.21 -0.25  0.43  0.37  0.44  1.42
 1983  8  0.69  0.65  0.71  0.87  0.68  0.99  0.51  0.58  0.50  1.03  0.97  1.04  0.77  0.58  0.93  0.26  0.33  0.24  0.58  0.56  0.61 -0.75 -1.04 -0.62  0.17  0.29  2.09
 1983  9  0.76  0.54  0.85  0.78  0.58  0.90  0.75  0.43  0.82  0.96  0.91  0.98  0.66  0.49  0.82  0.65  0.10  0.75  0.47  0.34  0.62 -0.81 -1.24 -0.61  0.66  0.62  0.13
 1983 10  0.87  0.62  0.97  0.86  0.52  1.09  0.88  0.87  0.89  1.21  1.22  1.20  0.69  0.35  1.00  0.71  0.55  0.74  0.38  0.43  0.32  0.24 -0.23  0.46  0.52  0.53  1.11
 1983 11  0.83  1.01  0.76  0.71  0.72  0.70  0.95  1.66  0.81  0.60  0.63  0.59  0.76  0.73  0.78  1.15  2.48  0.91  0.49  0.38  0.62  4.00  5.16  3.45  1.50  1.60  0.25
 1983 12  0.72  0.78  0.69  0.80  0.71  0.85  0.64  0.92  0.58  0.69  0.76  0.67  0.81  0.71  0.91  0.65  1.04  0.58 -0.59 -0.34 -0.89  0.81  1.45  0.51  1.25  1.28  0.91
 1984  1  0.58  0.49  0.61  0.47  0.49  0.45  0.69  0.49  0.73  0.89  0.94  0.87  0.21  0.38  0.05  0.62  0.12  0.71 -3.80 -3.06 -4.65 -0.32 -0.44 -0.26  0.96  0.38  0.70
 1984  2  0.39  0.10  0.50  0.45 -0.09  0.79  0.33  0.53  0.29  0.64  0.68  0.62  0.29 -0.30  0.82  0.23  0.43  0.20 -1.88 -1.90 -1.87 -0.08  0.18 -0.20  3.30  3.99  0.83
 1984  3  0.09  0.80 -0.19  0.81  1.45  0.41 -0.63 -0.68 -0.62 -0.98 -0.89 -1.00  1.72  2.05  1.43 -0.42 -0.47 -0.41  5.71  5.50  5.95 -0.37 -0.26 -0.43  0.32  0.59 -0.54
 1984  4  0.11  0.20  0.08  0.21  0.29  0.16  0.02  0.00  0.02 -0.15 -0.13 -0.16  0.39  0.41  0.37  0.12  0.07  0.13  1.34  1.42  1.26 -0.01 -0.09  0.02  0.50  0.49  0.30
 1984  5  0.21  0.17  0.23  0.17  0.19  0.16  0.25  0.12  0.28  0.09 -0.05  0.13  0.21  0.24  0.17  0.34  0.28  0.35 -0.03 -0.07  0.01 -0.16  0.26 -0.36  0.14  0.32  0.80
 1984  6  0.16 -0.04  0.24 -0.04 -0.14  0.03  0.36  0.17  0.40 -0.04 -0.14 -0.02 -0.05 -0.15  0.04  0.59  0.45  0.61  0.20  0.22  0.17  1.62  1.60  1.62  0.16  0.24 -0.29
 1984  7  0.15 -0.00  0.21 -0.09 -0.06 -0.10  0.38  0.12  0.43 -0.29 -0.29 -0.29  0.03  0.01  0.06  0.72  0.44  0.77  0.29  0.30  0.28  1.13  0.41  1.46  0.01  0.09  0.56
 1984  8  0.10  0.05  0.12  0.02  0.04  0.01  0.18  0.07  0.20 -0.38 -0.39 -0.38  0.24  0.16  0.32  0.46  0.41  0.47  0.51  0.59  0.42 -0.32 -0.27 -0.34  0.03 -0.00  0.44
 1984  9  0.09  0.22  0.04  0.07  0.21 -0.01  0.11  0.23  0.08 -0.27 -0.20 -0.29  0.27  0.33  0.22  0.29  0.54  0.24 -0.01  0.07 -0.09 -0.07  0.15 -0.17  0.07  0.06  1.06
 1984 10  0.10  0.28  0.03  0.12  0.36 -0.03  0.08  0.11  0.07 -0.21 -0.25 -0.20  0.29  0.48  0.11  0.24  0.47  0.20  0.75  0.93  0.54  0.92  2.02  0.39  0.17 -0.07 -0.60
 1984 11  0.24  0.22  0.25  0.00  0.01 -0.00  0.48  0.68  0.44 -0.08 -0.07 -0.09  0.03  0.01  0.05  0.80  1.31  0.71  0.50  0.21  0.83  3.59  3.85  3.47  0.90  0.93 -0.39
 1984 12  0.25  0.22  0.27  0.25  0.27  0.24  0.26  0.10  0.29 -0.19 -0.15 -0.21  0.46  0.37  0.55  0.52  0.34  0.55  2.02  1.78  2.30  0.33  0.30  0.35 -1.70 -1.32 -0.42
 1985  1 -0.02  0.22 -0.12  0.18  0.54 -0.06 -0.22 -0.50 -0.16 -0.97 -1.01 -0.95  0.79  0.93  0.66  0.15 -0.09  0.20  7.11  5.93  8.47 -0.04 -0.25  0.06 -2.71 -2.83  0.10
 1985  2 -0.11 -0.20 -0.07 -0.38 -0.27 -0.45  0.16 -0.03  0.20 -0.05 -0.26  0.01 -0.53 -0.23 -0.80  0.26  0.03  0.30  0.97  0.97  0.98  0.08  0.16  0.04 -0.86 -1.22  0.26
 1985  3 -0.12 -0.22 -0.08 -0.20 -0.21 -0.19 -0.04 -0.24  0.00 -0.19 -0.32 -0.15 -0.18 -0.18 -0.19  0.02 -0.18  0.05  1.63  1.39  1.90  0.12 -0.35  0.34 -0.65 -0.15 -0.25
 1985  4 -0.13 -0.31 -0.06 -0.20 -0.38 -0.08 -0.07 -0.15 -0.05  0.02 -0.11  0.05 -0.34 -0.45 -0.25 -0.08 -0.18 -0.06  2.25  1.81  2.75  0.28 -0.12  0.47 -1.26 -0.75 -0.39
 1985  5 -0.02 -0.04 -0.02  0.10 -0.06  0.19 -0.14  0.00 -0.18  0.46  0.47  0.46 -0.15 -0.21 -0.09 -0.41 -0.30 -0.43 -0.02  0.05 -0.11 -0.67 -0.55 -0.72 -0.72 -0.58  0.16
 1985  6  0.09  0.05  0.11  0.18  0.09  0.24  0.00 -0.05  0.01  0.51  0.55  0.50 -0.04 -0.03 -0.05 -0.23 -0.50 -0.18 -0.01  0.08 -0.11  1.19  0.20  1.65 -0.08  0.00 -0.89
 1985  7  0.12  0.14  0.12  0.15  0.12  0.16  0.10  0.18  0.08  0.57  0.54  0.58 -0.13 -0.02 -0.23 -0.09  0.01 -0.11  0.17  0.41 -0.11  0.78  1.32  0.53 -0.43 -0.45 -0.96
 1985  8  0.13  0.11  0.14  0.27  0.07  0.40 -0.01  0.20 -0.05  0.68  0.65  0.69 -0.01 -0.12  0.08 -0.31 -0.05 -0.35  0.21  0.12  0.31  0.08  0.47 -0.10  0.26  0.24 -0.33
 1985  9  0.21  0.09  0.26  0.53  0.23  0.72 -0.11 -0.23 -0.08  0.91  0.90  0.91  0.28  0.04  0.50 -0.59 -1.01 -0.52  0.37  0.09  0.70 -0.78 -2.26 -0.07  0.55  0.47 -0.23
 1985 10  0.19  0.25  0.17  0.58  0.46  0.65 -0.19 -0.20 -0.19  0.95  1.02  0.93  0.35  0.30  0.39 -0.76 -1.10 -0.70  0.31  0.51  0.08 -2.49 -3.38 -2.06 -0.04  0.15  0.48
 1985 11  0.10  0.16  0.07  0.34  0.36  0.33 -0.14 -0.28 -0.12  0.40  0.49  0.38  0.28  0.32  0.24 -0.41 -0.87 -0.32 -0.66 -0.55 -0.78 -0.27 -1.02  0.09  0.01 -0.67 -0.39
 1985 12  0.08  0.11  0.07  0.21  0.13  0.27 -0.05  0.08 -0.07  0.12  0.03  0.15  0.24  0.13  0.34 -0.12  0.18 -0.17 -2.12 -1.85 -2.43  0.80  0.74  0.83 -1.20 -1.63 -0.21
 1986  1  0.10  0.39 -0.01  0.43  0.66  0.28 -0.23 -0.22 -0.23 -0.07 -0.05 -0.08  0.69  0.85  0.54 -0.30 -0.37 -0.29  0.49  0.80  0.14 -0.50 -0.69 -0.42  0.98  1.66 -0.06
 1986  2  0.22  0.33  0.17  0.27  0.44  0.16  0.16  0.09  0.18  0.51  0.59  0.49  0.09  0.39 -0.18  0.03 -0.27  0.08 -3.53 -2.13 -5.15 -0.79 -1.31 -0.54 -0.13  0.06  0.52
 1986  3  0.15  0.20  0.13  0.38  0.27  0.45 -0.07  0.03 -0.10  0.25  0.37  0.21  0.45  0.25  0.62 -0.24 -0.24 -0.24  1.88  1.63  2.18 -0.56 -0.56 -0.57 -0.43  0.29 -0.26
 1986  4  0.06  0.26 -0.01  0.33  0.53  0.20 -0.20 -0.37 -0.16 -0.22 -0.27 -0.21  0.58  0.73  0.45 -0.15 -0.41 -0.11  3.12  2.98  3.28 -0.23 -0.42 -0.15 -0.56 -0.19 -0.44
 1986  5  0.05 -0.03  0.08 -0.13 -0.03 -0.20  0.24 -0.02  0.29 -0.32 -0.28 -0.33 -0.06  0.02 -0.13  0.55  0.23  0.61  0.60  0.66  0.53  0.61  1.06  0.41 -0.43 -0.20 -0.77
 1986  6  0.07 -0.21  0.18 -0.28 -0.34 -0.24  0.41  0.09  0.48 -0.27 -0.28 -0.26 -0.29 -0.37 -0.21  0.77  0.41  0.84  0.12  0.14  0.09  0.99  0.85  1.06 -1.29 -1.08  0.10
 1986  7  0.08 -0.10  0.15 -0.22 -0.17 -0.25  0.39  0.07  0.45 -0.27 -0.19 -0.30 -0.19 -0.16 -0.22  0.73  0.25  0.82  0.07  0.06  0.08  0.88  0.52  1.05 -0.19 -0.24  0.42
 1986  8 -0.04 -0.30  0.06 -0.61 -0.37 -0.77  0.53 -0.15  0.67 -1.08 -0.97 -1.11 -0.35 -0.21 -0.46  1.36  0.47  1.51  0.08 -0.02  0.19  2.54  0.98  3.28 -0.40 -0.24 -0.67
 1986  9 -0.03 -0.14  0.01 -0.23 -0.06 -0.33  0.16 -0.32  0.26 -0.72 -0.63 -0.75  0.03  0.07 -0.00  0.62 -0.04  0.74  0.38  0.31  0.46  2.04  0.67  2.68  0.55  0.31 -0.62
 1986 10  0.11  0.06  0.13 -0.04 -0.07 -0.02  0.26  0.34  0.24 -0.32 -0.20 -0.36  0.12 -0.04  0.26  0.56  0.78  0.52 -0.45 -0.75 -0.11  0.89  0.87  0.89 -0.05 -0.53  0.61
 1986 11  0.09  0.39 -0.02  0.10  0.16  0.07  0.08  0.90 -0.09 -0.55 -0.38 -0.60  0.44  0.28  0.58  0.43  1.91  0.17 -0.94 -0.96 -0.92  3.75  5.41  2.96 -0.20 -0.65 -0.33
 1986 12  0.24  0.66  0.07  0.17  0.79 -0.23  0.30  0.36  0.29 -0.01  0.10 -0.05  0.24  0.96 -0.41  0.50  0.59  0.48 -1.38 -0.08 -2.87  1.18  1.10  1.22 -0.19 -0.28  0.74
 1987  1  0.13  0.30  0.06  0.15  0.51 -0.08  0.11 -0.17  0.17 -0.24 -0.14 -0.27  0.37  0.68  0.09  0.28 -0.21  0.36  4.17  4.20  4.14  0.03 -0.36  0.21  0.71  1.28 -0.20
 1987  2 -0.06  0.04 -0.10  0.12  0.17  0.08 -0.24 -0.27 -0.23 -0.91 -0.78 -0.94  0.67  0.42  0.90  0.09  0.13  0.09  7.70  6.25  9.36  0.16  0.53 -0.01 -1.36 -0.92 -0.42
 1987  3 -0.07  0.01 -0.11 -0.25 -0.04 -0.38  0.10  0.12  0.09 -0.63 -0.57 -0.65 -0.04  0.09 -0.15  0.48  0.65  0.45  0.01 -0.20  0.25  0.61  0.79  0.53 -1.20 -1.78  1.26
 1987  4  0.08  0.12  0.06  0.06  0.08  0.05  0.09  0.22  0.07  0.01  0.13 -0.02  0.08  0.06  0.10  0.15  0.31  0.12 -1.54 -1.07 -2.08 -0.18 -0.19 -0.18  0.52  0.15  0.84
 1987  5  0.14  0.29  0.08  0.40  0.44  0.37 -0.12 -0.05 -0.14 -0.02  0.05 -0.04  0.62  0.54  0.70 -0.18 -0.10 -0.19 -0.20 -0.01 -0.41 -0.91 -1.39 -0.68  0.31  0.39  0.68
 1987  6  0.10  0.29  0.02  0.32  0.46  0.23 -0.12 -0.11 -0.12 -0.32 -0.20 -0.36  0.69  0.66  0.72 -0.05 -0.13 -0.04  0.53  0.68  0.36 -0.68 -0.82 -0.61  0.49  0.59  0.47
 1987  7  0.15  0.49  0.01  0.49  0.67  0.38 -0.20  0.10 -0.26  0.10  0.01  0.13  0.75  0.86  0.66 -0.42  0.11 -0.51  0.51  0.64  0.36 -1.28 -0.80 -1.51  1.09  0.93  0.93
 1987  8  0.09  0.55 -0.09  0.61  0.69  0.56 -0.43  0.25 -0.57  0.43  0.45  0.43  0.73  0.77  0.69 -0.91  0.05 -1.08  0.35  0.35  0.35 -1.05 -0.84 -1.14  0.72  0.50  0.38
 1987  9  0.08  0.34 -0.02  0.56  0.60  0.53 -0.40 -0.27 -0.42  0.62  0.59  0.63  0.59  0.64  0.55 -1.00 -1.02 -0.99  0.46  0.38  0.56 -3.71 -3.73 -3.70  1.22  1.17  0.82
 1987 10  0.04  0.14  0.00  0.50  0.47  0.51 -0.42 -0.61 -0.38  0.60  0.64  0.59  0.51  0.46  0.54 -1.02 -1.66 -0.91  0.28 -0.07  0.68 -5.96 -5.77 -6.04  1.01  0.91  1.36
 1987 11  0.05 -0.00  0.08  0.57  0.62  0.54 -0.47 -1.43 -0.26  0.43  0.45  0.43  0.74  0.72  0.76 -1.04 -3.01 -0.69  2.65  2.85  2.41 -7.59 -8.61 -7.11  0.54  1.23  0.81
 1987 12 -0.16  0.25 -0.32  0.05  0.40 -0.18 -0.37 -0.11 -0.42 -0.63 -0.65 -0.62  0.49  0.71  0.28 -0.31  0.19 -0.40  8.14  6.84  9.63  0.52  1.18  0.20 -0.97 -0.73 -0.54
 1988  1 -0.03 -0.50  0.15 -0.69 -1.05 -0.46  0.63  0.76  0.60  0.72  0.77  0.71 -1.38 -1.52 -1.25  0.52  0.68  0.49 -2.63 -3.09 -2.10  0.76  0.84  0.72 -1.18 -2.29  0.96
 1988  2  0.09 -0.58  0.35 -0.54 -1.22 -0.10  0.71  0.86  0.68  0.97  0.89  0.99 -1.29 -1.77 -0.85  0.53  0.81  0.48 -8.88 -7.85-10.05  0.89  1.01  0.83 -0.34 -1.41  0.82
 1988  3 -0.02  0.47 -0.21  0.33  0.93 -0.05 -0.37 -0.56 -0.33 -0.63 -0.65 -0.63  0.87  1.38  0.41 -0.26 -0.58 -0.20  1.94  2.21  1.64 -0.17 -0.48 -0.02  1.90  2.08 -0.06
 1988  4 -0.07 -0.13 -0.04  0.07 -0.01  0.12 -0.20 -0.39 -0.16 -0.27 -0.36 -0.24  0.28  0.09  0.44 -0.20 -0.43 -0.16  2.56  2.04  3.16 -0.13 -0.38 -0.01  0.03  0.30 -0.26
 1988  5 -0.04  0.02 -0.07  0.00  0.09 -0.06 -0.09 -0.14 -0.08 -0.02 -0.06 -0.01  0.03  0.15 -0.07 -0.14 -0.28 -0.12  0.40  0.57  0.22 -0.56 -0.82 -0.44  0.31  0.34 -0.40
